StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q5_10,Q5_11,Q7,Q7_8_TEXT,Q8,Q9,Q10,Q6
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your age group? (in years),What is the highest education level you have completed?,"How comfortable are you sharing Personally Identifiable Information(PIIs, e.g., date of birth, address) with financial institutions?","Have you ever experienced or suspected a security breach involving your PII (e.g., identity theft, unauthorized access)?","Which of the following types of PIIs are you comfortable sharing with a financial institution? 
(Five stars is most comfortable and one star is the least comfortable) - Social Security Number (SSN)","Which of the following types of PIIs are you comfortable sharing with a financial institution? 
(Five stars is most comfortable and one star is the least comfortable) - Full Name","Which of the following types of PIIs are you comfortable sharing with a financial institution? 
(Five stars is most comfortable and one star is the least comfortable) - Phone Number","Which of the following types of PIIs are you comfortable sharing with a financial institution? 
(Five stars is most comfortable and one star is the least comfortable) - Home Address","Which of the following types of PIIs are you comfortable sharing with a financial institution? 
(Five stars is most comfortable and one star is the least comfortable) - Email Address","Which of the following types of PIIs are you comfortable sharing with a financial institution? 
(Five stars is most comfortable and one star is the least comfortable) - Date of Birth","Which of the following types of PIIs are you comfortable sharing with a financial institution? 
(Five stars is most comfortable and one star is the least comfortable) - Employment History","Which of the following types of PIIs are you comfortable sharing with a financial institution? 
(Five stars is most comfortable and one star is the least comfortable) - Income Level","Which of the following types of PIIs are you comfortable sharing with a financial institution? 
(Five stars is most comfortable and one star is the least comfortable) - Biometric Data (e.g., fingerprints, facial recognition)","Which of the following types of PIIs are you comfortable sharing with a financial institution? 
(Five stars is most comfortable and one star is the least comfortable) - Passport Number / Driver's License Number","Which of the following types of PIIs are you comfortable sharing with a financial institution? 
(Five stars is most comfortable and one star is the least comfortable) - Tax ID",Which of the following do you consider the most vulnerable to fraud in PII-based authentication? - Selected Choice,Which of the following do you consider the most vulnerable to fraud in PII-based authentication? - Other (Please specify) - Text,For what purposes would you consent to share your personal information with a financial institution? (Select all that apply),How important are a financial institution's data protection measures to you when deciding to share your personal information?,"Biometric and Behavioral PIIs cannot be changed while you can always change Traditional PIIs like passwords, email, phone, etc. 
In a hypothetical scenario of a data breach, would you rather have your...",What is your technical background?
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID7""}","{""ImportId"":""QID5""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID3_2""}","{""ImportId"":""QID3_3""}","{""ImportId"":""QID3_4""}","{""ImportId"":""QID3_5""}","{""ImportId"":""QID3_6""}","{""ImportId"":""QID3_7""}","{""ImportId"":""QID3_8""}","{""ImportId"":""QID3_9""}","{""ImportId"":""QID3_10""}","{""ImportId"":""QID3_11""}","{""ImportId"":""QID6""}","{""ImportId"":""QID6_8_TEXT""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID4""}"
2024-11-07 19:25:23,2024-11-07 19:28:21,IP Address,107.13.176.78,100,177,True,2024-11-07 19:28:21,R_7QShzCSscHktIjv,,,,,35.7633,-78.71,anonymous,EN,18-24,Bachelor's Degree,Neither comfortable nor uncomfortable,"Not personally, but I know someone who has",3,5,5,5,5,5,4,3,1,1,2,Social Security Number,,"Opening an account,Loan application",Extremely important,"Traditional PIIs like passwords, email, phone, etc be compromised",Currently working in or pursuing a career in Tech
2024-11-07 19:29:15,2024-11-07 19:30:13,IP Address,107.13.176.78,100,58,True,2024-11-07 19:30:14,R_3uqXDGFtOlSdh85,,,,,35.7633,-78.71,anonymous,EN,18-24,Bachelor's Degree,Neither comfortable nor uncomfortable,"Not personally, but I know someone who has",3,5,5,5,5,5,3,2,1,1,1,Biometric information,,"Opening an account,Loan application",Extremely important,"Traditional PIIs like passwords, email, phone, etc be compromised",Currently working in or pursuing a career in Tech
2024-11-07 19:37:14,2024-11-07 19:38:30,IP Address,152.7.255.202,100,75,True,2024-11-07 19:38:31,R_3GHUSN4cZjoSwi5,,,,,35.7633,-78.71,anonymous,EN,18-24,Bachelor's Degree,Somewhat uncomfortable,"Not personally, but I know someone who has",1,4,2,2,3,5,2,4,2,2,2,Social Security Number,,"Opening an account,Loan application,Credit scoring and risk assessment,Compliance with legal obligations (e.g., anti-money laundering)",Very important,"Traditional PIIs like passwords, email, phone, etc be compromised",Currently working in or pursuing a career in Tech
2024-11-07 19:37:05,2024-11-07 19:39:51,IP Address,76.38.17.38,100,165,True,2024-11-07 19:39:51,R_1qEvluPkbgB0dN5,,,,,35.7633,-78.71,anonymous,EN,18-24,Bachelor's Degree,Somewhat uncomfortable,"Yes, once",1,5,2,1,2,2,4,4,1,1,1,Social Security Number,,"Loan application,Credit scoring and risk assessment,Marketing of new products and services,Compliance with legal obligations (e.g., anti-money laundering)",Extremely important,"Biometric ( fingerprints, facial recognition) and Behavioral(phone use patterns, etc) PIIs be compromised",Currently working in or pursuing a career in Tech
2024-11-07 19:37:14,2024-11-07 19:44:59,IP Address,98.11.204.228,100,464,True,2024-11-07 19:44:59,R_34GaLU5N4FX7udc,,,,,43.114,-77.5689,anonymous,EN,25-34,Master's Degree,Neither comfortable nor uncomfortable,"Not personally, but I know someone who has",1,5,3,3,5,3,4,2,1,1,1,Social Security Number,,"Opening an account,Loan application",Very important,"Biometric ( fingerprints, facial recognition) and Behavioral(phone use patterns, etc) PIIs be compromised",Not currently working in or pursuing a career in Tech
2024-11-07 21:00:40,2024-11-07 21:01:57,IP Address,71.69.164.17,100,76,True,2024-11-07 21:01:57,R_3aKXcgyvahin0OK,,,,,35.7614,-78.6015,anonymous,EN,18-24,Bachelor's Degree,Extremely uncomfortable,"Yes, multiple times",3,4,5,4,5,5,4,3,1,2,1,Social Security Number,,Credit scoring and risk assessment,Extremely important,"Traditional PIIs like passwords, email, phone, etc be compromised",Currently working in or pursuing a career in Tech
2024-11-07 21:11:54,2024-11-07 21:13:47,IP Address,136.56.76.205,100,112,True,2024-11-07 21:13:47,R_5l9syCmR1GbB1Rj,,,,,35.8235,-78.8256,anonymous,EN,25-34,Bachelor's Degree,Somewhat uncomfortable,"Yes, once",2,3,4,3,4,3,2,3,1,1,3,Social Security Number,,"Opening an account,Credit scoring and risk assessment,Compliance with legal obligations (e.g., anti-money laundering)",Extremely important,"Traditional PIIs like passwords, email, phone, etc be compromised",Currently working in or pursuing a career in Tech
2024-11-07 21:10:16,2024-11-07 21:15:13,IP Address,49.32.160.181,100,297,True,2024-11-07 21:15:14,R_407RBnktwOMK76N,,,,,19.0748,72.8856,anonymous,EN,18-24,Bachelor's Degree,Extremely uncomfortable,"Not personally, but I know someone who has",1,1,1,1,5,2,1,1,1,1,1,Biometric information,,"Opening an account,Loan application,Credit scoring and risk assessment,Compliance with legal obligations (e.g., anti-money laundering)",Extremely important,"Traditional PIIs like passwords, email, phone, etc be compromised",Currently working in or pursuing a career in Tech
